firmware_protocol	representative_pid	device	version	file	bytes	sha256	archive_check	manifest_target	payload_types	result
7	0b0e:253a	Jabra Evolve 65 TE Mono	1.0.3	Jabra_Evolve_65_TE-v1.0.3-arecaMono-vector.zip	1654239	9c8bb17666078d8d58c14a3385cda80cb4047831d3a144a24730efd88e5f0649	zip_ok	0x253A	gnv	ok
16	0b0e:253d	Jabra Evolve3 85	1.1.10	Jabra_Evolve3_85_v1.1.10_253D_vector.zip	22395214	d7b4a0a13e6370bac50ee58854a2c8f43fa852e01bac2de9738a34284a597b6a	zip_ok	0x253D	bin	ok
16	0b0e:2546	Jabra Evolve3 75	1.1.10	Jabra_Evolve3_75_v1.1.10_2546_vector.zip	22370406	37807d5fd5c6b848635f491ba32e00ef6bb2e581a213adcbc7353fe71cca85c5	zip_ok	0x2546	bin	ok
17	0b0e:2549	Jabra Evolve3 65 Stereo	1.0.1	Jabra_Evolve3_65_v1.0.1_2549_vector_Duo.zip	5296846	9d398c1b1e4e88e018c3cab79f586a201b6c969610aa04938c2a22c0f35b08fd	zip_ok	0x2549	bin	ok
17	0b0e:254c	Jabra Evolve3 65 Mono	1.0.1	Jabra_Evolve3_65_v1.0.1_254C_vector_Mono.zip	5296640	6ae8cb8ecdfb54999766ebd53b53822cac81e2afb6c0c269d226336fe7bceeba	zip_ok	0x254C	bin	ok
17	0b0e:254f	Jabra Evolve3 45 Stereo	1.0.1	Jabra_Evolve3_45_v1.0.1_254F_vector_Duo.zip	5257201	63c2382d4b25a69ca32d0cd95ea2a3c5030d22a4b712c0104c89dcc6de500fdf	zip_ok	0x254F	bin	ok
17	0b0e:2552	Jabra Evolve3 45 Mono	1.0.1	Jabra_Evolve3_45_v1.0.1_2552_vector_Mono.zip	5257239	e494d0d5d2a509d7b5b69985cd52c68f6fbf590a72bd24539aa0fcfd09761b8b	zip_ok	0x2552	bin	ok
16	0b0e:2555	Jabra Evolve3 65 Flex	1.0.1	Jabra_Evolve3_65_Flex_v1.0.1_2555_vector.zip	22391479	8d1408eb0a0ad5e7108c8716db37d9da51b6401a79f09d6b977ed774baab2b6e	zip_ok	0x2555	bin	ok
4	0b0e:2e40	Jabra Evolve2 40 SE	1.12.1	Jabra_Evolve2_40_SE_1.12.1.zip	2205081	3a3d0aa8de48dbe7109fd473e464ba893d64f64907e121e87e8d167864e69800	zip_ok	0x2E44	hex	ok
7	0b0e:2e50	Jabra Link 390	3.2.0	Jabra_Link_390_v3.2.0_2E50_vector.zip	1222367	c15d77e4e79515b3dce03779191dde20390c4ed2635e8e57ab1ae25336b4e3cf	zip_ok	0x2E50	bin	ok
10	0b0e:3009	Jabra PanaCast 50	9.3.6	Jabra_PanaCast_50_9.3.6.zip	160037051	c124357e06e7905a77012f1e4d1df18c3682c8909cea3168d30d22dccf2f5906	zip_ok	0x3010	zip	ok
11	0b0e:3020	Jabra PanaCast 20	4.2.9	Jabra_PanaCast_20_4.2.9.zip	19064560	eb87c2c8aa83923234c2f696bb9a8ced36f5c82f6514c01c6e40e07c61572580	zip_ok	0x3020	mvcmd	ok
18	0b0e:3081	Jabra PanaCast P40	4.2.0.21	panacast40vbs-user-4.2.0-21-fwu.zip	1867687068	d9b575c5a7b04401d94294a9ff3de571a968a8f08b841e84205dc764b2bab8c0	zip_ok	0x3080	pb,bin,zip,txt,no-extension	ok
18	0b0e:3092	Jabra PanaCast U30	4.2.0.20	panacastu30-user-4.2.0-20-fwu.zip	1330806503	8c88de46334ac10fa277465db5a4d0c289f8996687185da9cb9217ff7875a281	zip_ok	0x3093	pb,bin,zip,txt,no-extension	ok
4	0b0e:4001	Jabra Engage 50	4.1.3	Jabra_Engage_50_4.1.3.zip	671035	ba10337e51e1f8e12c8e480e374d3a5e906a05a93d00e0436875c1076a8677f2	zip_ok	0x4000	hex	ok
4	0b0e:4040	Jabra Link 950	2.7.0	Jabra_Link_950_2.7.0.zip	260996	fd94c5a486ab3dca97e0bc70224a09e39a389d652143c6d211f0dcc93d31c4ab	zip_ok	0x4041	hex	ok
4	0b0e:4051	Jabra Engage 50 II	4.1.3	Jabra_Engage_50_II_4.1.3.zip	831695	f4cb7913d46b1c8c52451369322a0d490fcd0418840b87e881f698ee97e396a5	zip_ok	0x4050	hex	ok
4	0b0e:4061	Jabra Engage 40	4.1.3	Jabra_Engage_40_4.1.3.zip	827036	e10b79fc5640c34ebfab49c3f1fe5ef197b6ffebe22c79c64025fcea5fef827f	zip_ok	0x4060	hex	ok
1	0b0e:a345	Jabra Link 360	2.47.0	Jabra_LINK_360-v2.47.0-vector.zip	606413	9cf49423f0b5b41b9dd204a58b0c6e72f7ef4a0245e9513f25ade280c56e1e8c	zip_ok	0xA347	dfu	ok
7	0b0e:ae6a	Jabra Speak2 55	1.6.4	JABRA_SPEAK2 55_OTA_V1.6.4.zip	21016692	1669bf5bce81c38f50cab0626e0d8050ef1660b8cc3d7ac73c14b376c61365f8	zip_ok	0xAE6C	gnv	ok
7	0b0e:ae6b	Jabra Speak2 40	1.2.8	JABRA_SPEAK2 40_OTA_V1.2.8.zip	20959096	fb82164ede5d8d39d51908cd0ea32cc40005d9a37587c0b38da5b51ad0d25922	zip_ok	0xAE6D	gnv	ok
7	0b0e:ae70	Jabra Speak2 55 CN	2.0.4	JABRA_KILI_OTA_V2.0.4A.zip	21085548	783bb23ffb497f98b722f61cc51f14c5e6ba54a5ecc73d4a11a9a25c8d4afec5	zip_ok	0xAE70	gnv	ok
4	0b0e:c0dd	Jabra Evolve2 Deskstand	1.10.0	Jabra_Evolve2_Deskstand_1.10.0.zip	68363	83c3eaf7d851a1d4a7aeaa9fd4bbaab75ae48a8ce0471d359edb3e6d9987a6e4	zip_ok	0xC0DE	hex	ok
